Date,AAPL,MSFT,SQ
2018-01-02,43.064998626708984,85.94999694824219,36.16999816894531
2018-01-03,43.057498931884766,86.3499984741211,37.310001373291016
2018-01-04,43.25749969482422,87.11000061035156,38.099998474121094
2018-01-05,43.75,88.19000244140625,41.13999938964844
2018-01-08,43.587501525878906,88.27999877929688,40.7599983215332
2018-01-09,43.58250045776367,88.22000122070312,40.880001068115234
2018-01-10,43.5724983215332,87.81999969482422,40.84000015258789
2018-01-11,43.81999969482422,88.08000183105469,42.29999923706055
2018-01-12,44.272499084472656,89.5999984741211,41.25
2018-01-16,44.04750061035156,88.3499984741211,39.31999969482422
2018-01-17,44.775001525878906,90.13999938964844,40.060001373291016
2018-01-18,44.814998626708984,90.0999984741211,40.27000045776367
2018-01-19,44.6150016784668,90.0,42.560001373291016
2018-01-22,44.25,91.61000061035156,45.290000915527344
2018-01-23,44.2599983215332,91.9000015258789,45.0099983215332
2018-01-24,43.55500030517578,91.81999969482422,44.31999969482422
2018-01-25,42.77750015258789,92.33000183105469,45.119998931884766
2018-01-26,42.877498626708984,94.05999755859375,45.970001220703125
2018-01-29,41.9900016784668,93.91999816894531,45.43000030517578
2018-01-30,41.74250030517578,92.73999786376953,45.52000045776367
2018-01-31,41.85749816894531,95.01000213623047,46.90999984741211
2018-02-01,41.94499969482422,94.26000213623047,44.45000076293945
2018-02-02,40.125,91.77999877929688,43.61000061035156
2018-02-05,39.122501373291016,88.0,41.02000045776367
2018-02-06,40.75749969482422,91.33000183105469,41.61000061035156
2018-02-07,39.8849983215332,89.61000061035156,41.66999816894531
2018-02-08,38.787498474121094,85.01000213623047,39.5
2018-02-09,39.102500915527344,88.18000030517578,39.56999969482422
2018-02-12,40.6775016784668,89.12999725341797,39.91999816894531
2018-02-13,41.084999084472656,89.83000183105469,42.11000061035156
2018-02-14,41.842498779296875,90.80999755859375,41.849998474121094
2018-02-15,43.247501373291016,92.66000366210938,44.290000915527344
2018-02-16,43.10749816894531,92.0,44.11000061035156
2018-02-20,42.962501525878906,92.72000122070312,44.93000030517578
2018-02-21,42.76750183105469,91.48999786376953,44.099998474121094
2018-02-22,43.125,91.7300033569336,44.900001525878906
2018-02-23,43.875,94.05999755859375,44.86000061035156
2018-02-26,44.74250030517578,95.41999816894531,46.54999923706055
2018-02-27,44.59749984741211,94.19999694824219,45.90999984741211
2018-02-28,44.529998779296875,93.7699966430664,46.04999923706055
2018-03-01,43.75,92.8499984741211,46.0099983215332
2018-03-02,44.0525016784668,93.05000305175781,46.02000045776367
2018-03-05,44.20500183105469,93.63999938964844,50.41999816894531
2018-03-06,44.16749954223633,93.31999969482422,49.599998474121094
2018-03-07,43.75749969482422,93.86000061035156,50.720001220703125
2018-03-08,44.23500061035156,94.43000030517578,52.25
2018-03-09,44.994998931884766,96.54000091552734,52.4900016784668
2018-03-12,45.43000030517578,96.7699966430664,53.189998626708984
2018-03-13,44.99250030517578,94.41000366210938,51.83000183105469
2018-03-14,44.61000061035156,93.8499984741211,54.61000061035156
2018-03-15,44.662498474121094,94.18000030517578,54.84000015258789
2018-03-16,44.505001068115234,94.5999984741211,54.88999938964844
2018-03-19,43.82500076293945,92.88999938964844,54.58000183105469
2018-03-20,43.810001373291016,93.12999725341797,57.689998626708984
2018-03-21,42.817501068115234,92.4800033569336,57.09000015258789
2018-03-22,42.212501525878906,89.79000091552734,55.15999984741211
2018-03-23,41.23500061035156,87.18000030517578,51.66999816894531
2018-03-26,43.192501068115234,93.77999877929688,53.54999923706055
2018-03-27,42.084999084472656,89.47000122070312,51.060001373291016
2018-03-28,41.619998931884766,89.38999938964844,47.38999938964844
2018-03-29,41.94499969482422,91.2699966430664,49.20000076293945
2018-04-02,41.66999816894531,88.5199966430664,47.68000030517578
2018-04-03,42.09749984741211,89.70999908447266,47.58000183105469
2018-04-04,42.90250015258789,92.33000183105469,47.66999816894531
2018-04-05,43.20000076293945,92.37999725341797,48.02000045776367
2018-04-06,42.095001220703125,90.2300033569336,45.869998931884766
2018-04-09,42.51250076293945,90.7699966430664,45.88999938964844
2018-04-10,43.3125,92.87999725341797,47.79999923706055
2018-04-11,43.11000061035156,91.86000061035156,47.7599983215332
2018-04-12,43.53499984741211,93.58000183105469,49.689998626708984
2018-04-13,43.682498931884766,93.08000183105469,47.5
2018-04-16,43.95500183105469,94.16999816894531,47.029998779296875
2018-04-17,44.560001373291016,96.06999969482422,49.130001068115234
2018-04-18,44.459999084472656,96.44000244140625,51.380001068115234
2018-04-19,43.20000076293945,96.11000061035156,50.630001068115234
2018-04-20,41.43000030517578,95.0,51.459999084472656
2018-04-23,41.310001373291016,95.3499984741211,50.349998474121094
2018-04-24,40.73500061035156,93.12000274658203,46.0099983215332
2018-04-25,40.912498474121094,92.30999755859375,44.75
2018-04-26,41.05500030517578,94.26000213623047,46.7400016784668
2018-04-27,40.58000183105469,95.81999969482422,47.56999969482422
2018-04-30,41.314998626708984,93.5199966430664,47.34000015258789
2018-05-01,42.275001525878906,95.0,48.20000076293945
2018-05-02,44.14250183105469,93.51000213623047,48.65999984741211
2018-05-03,44.22249984741211,94.06999969482422,49.209999084472656
2018-05-04,45.95750045776367,95.16000366210938,49.099998474121094
2018-05-07,46.290000915527344,96.22000122070312,51.119998931884766
2018-05-08,46.51250076293945,95.80999755859375,53.31999969482422
2018-05-09,46.84000015258789,96.94000244140625,54.2599983215332
2018-05-10,47.5099983215332,97.91000366210938,54.650001525878906
2018-05-11,47.147499084472656,97.69999694824219,54.72999954223633
